Symbol,Timeframe,Candles,Time (s),Return %,Sharpe,Max DD %,Trades,Win Rate %,Profit Factor,Pivots
BTCUSDT,1m,1051200,1.08,-79.79,-0.47,82.11,6696,46.2,0.89,17734
BTCUSDT,5m,210240,0.25,-58.69,-0.62,63.38,5376,46.2,0.93,14158
BTCUSDT,15m,70080,0.1,-45.18,-0.84,53.99,3507,46.6,0.93,9142
BTCUSDT,1h,17520,0.03,15.36,0.83,17.07,1207,48.2,1.05,3140
BTCUSDT,4h,4380,0.01,2.39,0.65,6.97,288,47.2,1.03,786
BTCUSDT,1d,730,0.0,-3.12,-6.54,3.12,45,42.2,0.73,126
ETHUSDT,1m,1051200,1.14,-62.69,-0.18,70.45,12237,47.7,0.97,32034
ETHUSDT,5m,210240,0.28,-29.99,-0.12,54.08,8636,48.1,0.98,22426
ETHUSDT,15m,70080,0.11,-34.64,-0.49,44.32,4493,47.5,0.96,11678
ETHUSDT,1h,17520,0.03,4.47,0.36,24.2,1226,48.7,1.01,3155
ETHUSDT,4h,4380,0.01,-3.09,-0.57,15.82,324,46.3,0.96,785
ETHUSDT,1d,730,0.0,-1.88,-4.19,3.52,44,43.2,0.84,116
